Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included Brazil,Price,Compare At Price,Included International,Price International,Compare At Price International,Status
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,33,,,CBvwI7wCE,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/41dd26ffbfa63cc4999fbdf4b62a3f39.jpg?v=1702297053,1.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,34,,,oAG5lgKe5,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/c0d5d7e7887efa5f6ec0f80558aca89c.jpg?v=1702297053,2.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,35,,,Ysf8dbZsu,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,3.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,36,,,HNgwjoeDQ,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,37,,,q7VHomKef,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,38,,,T9KpO7J8b,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,39,,,7XuRtHcdN,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Preto,Tamanho,40,,,e7aOLw8zf,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/55ad6f270d62e8f1195bc984d3736a6c.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Rosa,Tamanho,33,,,8NMfsDucR,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/41dd26ffbfa63cc4999fbdf4b62a3f39.jpg?v=1702297053,kg,,,True,,,True,,,active
Zapatillas Femeninas Ogilá,"<p><strong>Zapatillas Femeninas Ogilá</strong> es una excelente opción dentro de la categoría <em>Zapatillas Femeninas Ogilá</em>. Diseñado pensando en tu comodidad, estilo y funcionalidad diaria. ¡Aprovecha esta oportunidad única para sorprenderte con calidad y elegancia!</p>",Loja Exemplo Patrick Marques,,Zapatillas Femeninas Ogilá,,True,Cor,Rosa,Tamanho,34,,,5owXAsi73,0.0,,continue,manual,189.0,,True,True,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/dfe116c800c0b8c047e274187d3bdf7b.jpg?v=1702297053,4.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0812/9400/0411/products/41dd26ffbfa63cc4999fbdf4b62a3f39.jpg?v=1702297053,kg,,,True,,,True,,,active
